Scientific Name,Common Name,Species ID,Link,Plant Type,Light Preference,Water Preference,Drought Tolerant?,Native to SG?,Fruit Bearing?,Fragrant Plant?,Maximum Height,Flower Colour,Hazard,Attracted Animals,Native habitat,Mature Leaf Colour,Young Flush Leaf Colour,Leaf Area Index,Growth Rate,Trunk Texture,Trunk Colour,Leaf Texture
Abelia × grandiflora (Planch. & Linden) Traub,Glossy abelia,4055,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4055,Shrub,Full Sun,Moderate Water,False,False,False,False,"This hybrid species is a rounded, spreading, multi-stemmed shrub and can grow up to about 1 - 2 m tall and 2 - 4 m wide.",White,-,Butterfly-Attracting,Terrestrial,Green,-,-,Moderate,None,None,"Ovate leaves, dark green, glossy, opposite and simple, measuring about 2 - 5 cm long."
Abelia × grandiflora 'Francis Mason',Golden Abelia,3463,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3463,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,1.5 m,White,-,Butterfly-Attracting,-,"Green, Yellow / Golden",Red,4.5 (Shrub & Groundcover - Dicot),Moderate,None,None,"Leaves are yellow and green, elliptical in shape."
Abelia × grandiflora 'Kaleidoscope',Kaleidoscope Abelia,5038,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5038,Shrub,Full Sun,Moderate Water,False,False,False,False,60 cm to 70 cm,White,-,Butterfly-Attracting,Terrestrial,Green - Light Green,Red,-,Moderate,None,None,"Leaves are variegated of yellow and green with a tinge of orange on the younger flushes, leaf blade is elliptical in shape, with crenate margin. Leaves are sometimes whorled or oppositely arranged."
Abelia × grandiflora 'Variegata',-,4056,https://www.nparks.gov.sg/florafaunaweb/flora/4/0/4056,Shrub,"Full Sun, Semi Shade",Moderate Water,False,False,False,False,-,-,-,-,Terrestrial,-,-,-,Moderate,None,None,-
Abelmoschus esculentus (L.) Moench,Lady's Fingers,1581,https://www.nparks.gov.sg/florafaunaweb/flora/1/5/1581,"Herbaceous Plant, Shrub",Full Sun,Moderate Water,False,False,True,False,1 m to 1.8 m,Yellow / Golden,"Spines/Thorns - Stem/Branch, Spines/Thorns - Leaf",-,-,Green,Green,-,Moderate,None,None,"Leaves velvety, palmately lobed."
Abelmoschus esculentus 'Alabama Red',Lady's Finger,6691,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6691,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Clemson Spineless',Lady's Finger,7453,https://www.nparks.gov.sg/florafaunaweb/flora/7/4/7453,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,"Large, mostly herbaceous plant with woody stem near the base up to 1.8 m or more tall.",Cream / Off-White,-,-,-,Green,-,-,-,None,None,"Large, palmate leaves are deeply lobed with a toothed leaf margin."
Abelmoschus esculentus cultivars,Lady's Finger,8439,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8439,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
Abelmoschus esculentus 'Greeny Splendor',Lady's Finger,6516,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6516,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,0.5 m to 1 m,Cream / Off-White,-,-,-,Green,-,-,-,None,None,"Simple, palmately lobed leaves have an irregular, toothed leaf margin. The leaf blade bulges between veins, creating a bumpy, uneven surface. The petiole is long, cylindrical and sparsely covered in soft, white hairs."
Abelmoschus esculentus 'Silver Queen',Lady's Finger,8410,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8410,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,1.8,-,-,-,Terrestrial,-,-,-,-,None,None,-
Abelmoschus esculentus 'Star of David',Lady's Finger,6690,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6690,Herbaceous Plant,Full Sun,Moderate Water,False,False,True,False,-,-,-,-,-,-,-,-,-,None,None,-
